FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
06089,0.138,"24,670",13.8,40.89848036,7.284332458
06091,0.113,330,11.3,64.56650532,7.84837444
06093,0.15,"6,510",15,34.0577358,7.673240112
06095,0.094,"41,840",9.4,13.41881053,7.930343887
06097,0.093,"46,040",9.3,38.7949688,7.424061357
06099,0.118,"64,320",11.8,6.707067599,7.601321219
06101,0.125,"12,060",12.5,14.58424789,7.744366053
06103,0.145,"9,310",14.5,40.78209042,7.980589129
06105,0.159,"2,000",15.9,40.36176361,6.843019797
06107,0.149,"69,330",14.9,4.043648035,7.134937255
06109,0.13,"7,050",13,63.85788108,6.998779642
06111,0.085,"72,180",8.5,11.49740436,7.660976786
06113,0.106,"23,210",10.6,35.26074111,7.507586108
06115,0.132,"10,260",13.2,19.96801408,3.058190785
08001,0.093,"47,260",9.3,57.53687084,3.258786029
08003,0.127,"2,050",12.7,38.92572922,3.031274586
08005,0.09,"58,220",9,13.41769749,3.582783147
08007,0.105,"1,430",10.5,25.56180406,2.371378098
08009,0.128,460,12.8,26.25763763,2.544000652
08011,0.143,810,14.3,25.20701018,3.338445287
08013,0.087,"28,340",8.7,62.09929797,3.246077284
08014,0.076,"5,310",7.6,19.36157686,3.429546991
08015,0.113,"2,250",11.3,53.5135616,2.497628246
08017,0.092,180,9.2,36.27735409,3.366119907
08019,0.099,940,9.9,17.228416,3.348235304
08021,0.123,"1,000",12.3,49.51148423,3.143732603
08023,0.166,630,16.6,46.79463083,2.760066713
08025,0.166,950,16.6,74.4828695,3.170722122
08027,0.086,430,8.6,15.95943178,3.880287046
08029,0.141,"4,320",14.1,72.395178,3.179284812
08031,0.111,"79,290",11.1,24.23863126,4.008114397
08033,0.1,190,10,27.13217319,3.14674989
08035,0.057,"19,700",5.7,33.0939867,3.629620348
08037,0.091,"4,970",9.1,61.06763184,2.938936719
08039,0.056,"1,470",5.6,49.74270876,2.996138371
08041,0.102,"72,680",10.2,55.84377771,3.211110689
08043,0.123,"5,870",12.3,17.12174266,3.940392255
08045,0.08,"4,780",8,55.33803182,3.352857357
08047,0.095,580,9.5,44.16030099,3.530042156
08049,0.097,"1,500",9.7,27.60673893,3.647622811
08051,0.098,"1,680",9.8,9.098637643,3.68217614
08053,0.105,80,10.5,53.06292739,3.041645892
08055,0.144,980,14.4,35.23676575,3.651889316
08057,0.095,120,9.5,62.54192802,3.255029464
08059,0.085,"49,260",8.5,44.7553623,2.492941431
08061,0.095,140,9.5,33.18490448,2.554651227
08063,0.084,610,8.4,32.21271412,3.502511151
08065,0.117,920,11.7,34.11626996,3.804444013
08067,0.097,"5,460",9.7,44.05398038,3.437037225
08069,0.094,"32,920",9.4,32.34412887,2.769055241
08071,0.138,"1,980",13.8,45.85798913,2.748216508
